org,repo_name,health_score,num_commits,number_of_commit_per_day,number_of_commit_per_developer,average_issue_open_time,pull_request_average_merge_time
wardn,v8,2.0,4582,4582.0,4582.0,3600.0,3600.0
weizai118,wireshark,1.7498909,4009,4009.0,4009.0,3600.0,3600.0
jasongornall,always-green,1.0,0,0.0,0.0,0.0,3600.0
KimShepherdVibrato,terraform-provider-azurerm,0.9563509,2191,2191.0,2191.0,3600.0,3600.0
bossm,chancechat,0.8655609,1983,1983.0,1983.0,3600.0,3600.0
lonzoc,acrn-kernel,0.74159753,1699,1699.0,1699.0,3600.0,3600.0
wardn,nuklear,0.73374075,1681,1681.0,1681.0,3600.0,3600.0
jacobblyons,three.js,0.7127892,1633,1633.0,1633.0,3600.0,3600.0
anura-engine,imgui,0.510694,1170,1170.0,1170.0,3600.0,3600.0
mirror-land,bzip2,0.48974246,1122,1122.0,1122.0,3600.0,3600.0
wardn,darknet,0.45351374,1039,1039.0,1039.0,3600.0,3600.0
mariha,elasticsearch,0.43037975,986,986.0,986.0,3600.0,3600.0
claireriley,postman-docs,0.4002619,917,917.0,917.0,3600.0,3600.0
HardeepAsrani,gutenberg,0.31776518,728,728.0,728.0,3600.0,3600.0
jessfraz,linux,0.27149716,622,622.0,622.0,3600.0,3600.0
takanapa,microsoft-graph-docs,0.23090354,529,529.0,529.0,3600.0,3600.0
jianzh5,nacos,0.22348319,512,512.0,512.0,3600.0,3600.0
svangordon,terraform,0.22217372,509,509.0,509.0,3600.0,3600.0
nancyzrh,incubator-shardingsphere,0.22173724,508,508.0,508.0,3600.0,3600.0
wardn,mbed-os,0.21824531,500,500.0,500.0,3600.0,3600.0
wardn,ring,0.21562636,494,494.0,494.0,3600.0,3600.0
wilsonc86,ledger,0.1676124,384,384.0,384.0,3600.0,3600.0
slnn,liferay-portal,0.1484068,340,340.0,340.0,3600.0,3600.0
cbzs,ntdtv,0.14709733,337,337.0,337.0,3600.0,3600.0
yxingwu,liferay-portal,0.13182017,302,302.0,302.0,3600.0,3600.0
jianzh5,spring-cloud-alibaba,0.11697949,268,268.0,268.0,3600.0,3600.0
sdgdsffdsfff,uirecorder,0.105630726,242,242.0,242.0,3600.0,3600.0
yxieca,sonic-buildimage,0.10475775,240,240.0,240.0,3600.0,3600.0
AngeloWong,incubator-dubbo,0.097773895,224,224.0,224.0,3600.0,3600.0
mt-jones,cudf,0.09733741,223,223.0,223.0,3600.0,3600.0
wardn,gecko-dev,0.09690092,222,222.0,222.0,3600.0,3600.0
google,swift,0.08424269,193,193.0,193.0,3600.0,3600.0
wanganjun,DefinitelyTyped,0.08293322,190,190.0,190.0,3600.0,3600.0
vinicyusmacedo,kubernetes,0.07725884,177,177.0,177.0,3600.0,3600.0
daneshk,ballerina,0.074639894,171,171.0,171.0,3600.0,3600.0
waynechen55,os-autoinst-distri-opensuse,0.07376692,169,169.0,169.0,3600.0,3600.0
tongzhenghe,-_tzhe,0.07158446,164,164.0,164.0,3600.0,3600.0
mdaniel,virtualbox-org-svn-vbox-trunk,0.068529025,157,157.0,157.0,3600.0,3600.0
jjlawren,home-assistant,0.06678306,153,153.0,153.0,3600.0,3600.0
tc-mfikria,community-app,0.065910086,151,151.0,151.0,3600.0,3600.0
teavmac,RongSys,0.06329114,145,145.0,145.0,3600.0,3600.0
mvdoc,nipy,0.06241816,143,143.0,143.0,3600.0,3600.0
sdgdsffdsfff,MongoShake,0.061981667,142,142.0,142.0,3600.0,3600.0
KarishmaGhiya,web-build-tools,0.059362724,136,136.0,136.0,3600.0,3600.0
dikisiswanto,OpenSID,0.05805325,133,133.0,133.0,3600.0,3600.0
katialira,2019.djangocon.us,0.057616763,132,132.0,132.0,3600.0,3600.0
mjstarrett,Landmarks,0.05630729,129,129.0,129.0,3600.0,3600.0
unluckymind,express-server-ready,0.050632913,116,116.0,116.0,3600.0,3600.0
npwoods,mame,0.05019642,115,115.0,115.0,3600.0,3600.0
chuan12,shenzhouzd,0.048886947,112,112.0,112.0,3600.0,3600.0
machuanjia,ngx-tethys,0.048013967,110,110.0,110.0,3600.0,3600.0
CjHare,pantheon,0.047577478,109,109.0,109.0,3600.0,3600.0
tridge,ardupilot,0.045395024,104,104.0,104.0,3600.0,3600.0
mpsq,what-time-is-it,0.044522043,102,102.0,102.0,3600.0,3600.0
jeffcampbell,stucktruck,0.043649063,100,100.0,100.0,3600.0,3600.0
leusonmario,jackson-databind,0.04277608,98,98.0,98.0,3600.0,3600.0
mne-tools,mne-cpp,0.0419031,96,96.0,96.0,3600.0,3600.0
tekintian,algo,0.040157136,92,92.0,92.0,3600.0,3600.0
Hixie,flutter,0.038847666,89,89.0,89.0,3600.0,3600.0
zcodes,vim,0.038411174,88,88.0,88.0,3600.0,3600.0
sdgdsffdsfff,butterfly-2,0.03797468,87,87.0,87.0,3600.0,3600.0
couraudt,rss-bridge,0.036665212,84,84.0,84.0,3600.0,3600.0
itowlson,duffle,0.03579223,82,82.0,82.0,3600.0,3600.0
rehmanali001,ruby-advanced-class-methods-lab-online-web-sp-000,0.03535574,81,81.0,81.0,3600.0,3600.0
wardn,btree,0.03491925,80,80.0,80.0,3600.0,3600.0
OpenNMS,opennms,0.03448276,79,79.0,79.0,3600.0,3600.0
marinofelipe,SwiftInfo,0.034046266,78,78.0,78.0,3600.0,3600.0
RaviKKashyap,Dynamics-365-Workflow-Tools,0.033173285,76,76.0,76.0,3600.0,3600.0
odkrys,asuswrt-merlin.ng,0.032736797,75,75.0,75.0,3600.0,3600.0
wardn,corefx,0.031427324,72,72.0,72.0,3600.0,3600.0
x-wrt,x-wrt,0.030554343,70,70.0,70.0,3600.0,3600.0
rosebe,v2ray-SiteDAT,0.030117853,69,69.0,69.0,3600.0,3600.0
rockchip-linux,minigui,0.029681362,68,68.0,68.0,3600.0,3600.0
cicins,cgm-remote-monitor,0.028808381,66,66.0,66.0,3600.0,3600.0
joelhandwell,chocolatey-terraform,0.02837189,65,65.0,65.0,3600.0,3600.0
wardn,newsboat,0.027498908,63,63.0,63.0,3600.0,3600.0
multipath-tcp,mptcp_net-next,0.026516804,81,81.0,40.5,3600.0,3600.0
hashibiroko,tanoshi,0.026189437,60,60.0,60.0,3600.0,3600.0
g0v-data,mirror-minutely,0.025752947,59,59.0,59.0,3600.0,3600.0
srinivasreddy42,CasperLabs,0.024879966,57,57.0,57.0,3600.0,3600.0
LongFengFan,geektime-spring-family,0.024006983,55,55.0,55.0,3600.0,3600.0
Cat-Lady,Zero-K,0.023570493,54,54.0,54.0,3600.0,3600.0
sizigia,expressing-functions-ds-apply-000,0.023134002,53,53.0,53.0,3600.0,3600.0
zsxs2,zsxs2.github.io,0.022697512,52,52.0,52.0,3600.0,3600.0
akshaysonvane,marklogic-data-hub,0.022261022,51,51.0,51.0,3600.0,3600.0
wardn,home-assistant,0.021824531,50,50.0,50.0,3600.0,3600.0
davidchin,checkout-sdk-js,0.02138804,49,49.0,49.0,3600.0,3600.0
saqib-ali,hivemined,0.02095155,48,48.0,48.0,3600.0,3600.0
aswl8225,spring-cloud-alibaba,0.020515058,47,47.0,47.0,3600.0,3600.0
sayterdarkwynd,FrackinUniverse,0.020078568,46,46.0,46.0,3600.0,3600.0
ChaimSh,activerecord-tvshow-online-web-sp-000,0.019642077,45,45.0,45.0,3600.0,3600.0
ksti,ShadowSocksShare-OpenShift,0.019205587,44,44.0,44.0,3600.0,3600.0
Konlii,TFC-Assets,0.018769097,43,43.0,43.0,3600.0,3600.0
ohxyz,rocket-website,0.018332606,42,42.0,42.0,3600.0,3600.0
DHBW-sWIm,mastercrm-vtiger,0.017896116,41,41.0,41.0,3600.0,3600.0
pequet,public-logs,0.017459625,40,40.0,40.0,3600.0,3600.0
SAP,SapMachine,0.017023133,39,39.0,39.0,3600.0,3600.0
e55db081d05f58a,e55db081d05f58a.github.io,0.016586643,38,38.0,38.0,3600.0,3600.0
DSNortsev,ansible,0.016150152,37,37.0,37.0,3600.0,3600.0
sdgdsffdsfff,flutter_boost,0.015713662,36,36.0,36.0,3600.0,3600.0
zijies1,WebSentry-FrontEnd,0.0152771715,35,35.0,35.0,3600.0,3600.0
ologe,canaree-music-player,0.014840681,34,34.0,34.0,3600.0,3600.0
google,swift-corelibs-foundation,0.014404191,33,33.0,33.0,3600.0,3600.0
scbronder,dsc-2-20-09-2-sample-t-tests-lab-nyc-career-ds-102218,0.013967699,32,32.0,32.0,3600.0,3600.0
htmlacademy-adaptive,922101-pink-17,0.013531209,31,31.0,31.0,3600.0,3600.0
jordanlewis,cockroach,0.013094719,30,30.0,30.0,3600.0,3600.0
gatkin,gatkin-personal-site,0.012658228,29,29.0,29.0,3600.0,3600.0
99KHayes-Flatiron,dsc-distance-metrics-lab-dc-ds-060319,0.012221737,28,28.0,28.0,3600.0,3600.0
triforcecoin,triforcecoin,0.011930743,41,41.0,13.666667,3600.0,3600.0
cryptoshrooms,shrooms,0.011785246,27,27.0,27.0,3600.0,3600.0
apy444,gradient-descent-step-sizes-lab-dc-ds-82619,0.011348756,26,26.0,26.0,3600.0,3600.0
Jmerckel,programming-univbasics-4-crud-lab-online-web-prework,0.010912266,25,25.0,25.0,3600.0,3600.0
wardn,martian,0.010475775,24,24.0,24.0,3600.0,3600.0
LynieV,CSS-Fundamentals-Lab-v-000,0.010039284,23,23.0,23.0,3600.0,3600.0
darinleejr,array-CRUD-lab-online-web-ft-071519,0.0096027935,22,22.0,22.0,3600.0,3600.0
Jmendoza173,advanced-hashes-hashketball-dumbo-web-080519,0.009166303,21,21.0,21.0,3600.0,3600.0
isomerpages,enterprisesg-sac,0.009166302,28,28.0,14.0,3600.0,3600.0
zeit-github-test,github-e2e-tests-production,0.008729813,20,20.0,20.0,3600.0,3600.0
Rodrigo310,Legendas,0.008293321,19,19.0,19.0,3600.0,3600.0
magento-l10n,i18n-magento2,0.008184199,25,25.0,12.5,3600.0,3600.0
jonfazzaro,dayofagilespeakers,0.007856831,18,18.0,18.0,3600.0,3600.0
newstools,2019-leadership-newspaper-nigeria,0.0074203406,17,17.0,17.0,3600.0,3600.0
katelynburke,dog_breed_detection,0.007365779,27,27.0,6.75,3600.0,3600.0
tencentyun,qcloud-documents,0.0071202535,29,29.0,3.625,3600.0,3600.0
google-test2,signcla-probe-repo,0.00698385,24,24.0,8.0,3600.0,3600.0
guadguadt,up,0.0069838497,16,16.0,16.0,3600.0,3600.0
eodccloud,Einstein,0.0065473593,15,15.0,15.0,3600.0,3600.0
helloworldwcy,spingboot,0.0061108684,14,14.0,14.0,3600.0,3600.0
chuckha,cluster-api-provider-docker,0.005674378,13,13.0,13.0,3600.0,3600.0
trannamviet1991,primary,0.0052378876,12,12.0,12.0,3600.0,3600.0
m-iris,reviewing-a-pull-request,0.005237887,16,16.0,8.0,63.0,3600.0
AtomicLoans,chainabstractionlayer-loans,0.0048013967,11,11.0,11.0,3600.0,3600.0
arielleshamash,Project-2,0.0046559,16,16.0,5.3333335,3600.0,3600.0
kierrakay,programming-univbasics-3-ruby-method-arguments-lab-online-web-prework,0.0043649063,10,10.0,10.0,3600.0,3600.0
gogowhy,PlayerKnowns-Battleground,0.0040739123,14,14.0,4.6666665,3600.0,3600.0
eFiniLan,openpilot,0.0039284155,9,9.0,9.0,3600.0,3600.0
OverHeatHeart,DroneProject,0.0037829187,13,13.0,4.3333335,3600.0,3600.0
vldbarbosa,warbrasil,0.0036010477,11,11.0,5.5,3600.0,3600.0
MarcLignarius,React.CRUDTutorial3,0.0034919248,8,8.0,8.0,3600.0,3600.0
opspresso,argocd-env-demo,0.0032736799,10,10.0,5.0,3600.0,3600.0
leehyungwoo,tardygram,0.0032009312,11,11.0,3.6666667,3600.0,3600.0
keyboard-man-oocl-ita,parking-lot-management-helper-backend,0.0031427327,12,12.0,2.4,3600.0,3600.0
chhh,FragPipe,0.0030554342,7,7.0,7.0,3600.0,3600.0
CallumArthurs,SlashParryBlock,0.003000873,11,11.0,2.75,3600.0,3600.0
build-week-sleep-tracker,FE,0.0029463116,9,9.0,4.5,3600.0,3600.0
sonb9615,ByBy,0.0029099374,10,10.0,3.3333333,3600.0,3600.0
romebell,PTDY,0.0026189438,6,6.0,6.0,3600.0,3600.0
parano,BentoML,0.0026189436,8,8.0,4.0,3600.0,3600.0
liuXinJianGithub,parking-lot-mini-user,0.00232795,8,8.0,2.6666667,3600.0,3600.0
SifatSinghKhalsa,Vehicle-management-system,0.0022915755,7,7.0,3.5,3600.0,3600.0
dodonki1223,qiita_trend,0.0021824532,5,5.0,5.0,3600.0,3600.0
chanzuckerberg,idseq-web,0.002182453,8,8.0,2.0,3600.0,3600.0
HaloSpaceStation,HaloSpaceStation13,0.0020369561,7,7.0,2.3333333,3600.0,3600.0
wingscms,wings,0.0019642077,6,6.0,3.0,3600.0,3600.0
seek-oss,treat,0.0017459625,6,6.0,2.0,3600.0,3600.0
joncaneiro,js-deli-counter-bootcamp-prep-000,0.0017459624,4,4.0,4.0,3600.0,3600.0
renjiejie,ExamSystem,0.0016368399,5,5.0,2.5,3600.0,3600.0
kim93j5,soomgosustaSpring,0.0014549687,5,5.0,1.6666666,3600.0,3600.0
W-RNG,witmzapp,0.0013640332,5,5.0,1.25,3600.0,3600.0
crr121,LeetCode-,0.0013094719,3,3.0,3.0,3600.0,3600.0
he4rt,he4rtlearn-api,0.0013094718,4,4.0,2.0,3600.0,3600.0
J-Lindley,Intervue,0.001163975,4,4.0,1.3333334,3600.0,3600.0
ryknow0,INFO4430-OPL,9.821039E-4,3,3.0,1.5,3600.0,3600.0
Azure,azure-sdk-for-python,8.7298127E-4,3,3.0,1.0,1118.0,3600.0
yyi4,hangman,8.729812E-4,2,2.0,2.0,3600.0,3600.0
ssm-deepcove,discover_deep_cove,6.547359E-4,2,2.0,1.0,3600.0,3600.0
robwhitaker,habitica-webhook-editor,4.364906E-4,1,1.0,1.0,3600.0,3600.0
whwogus1213,youditor,3.2736795E-4,1,1.0,0.5,3600.0,3600.0
cse-uprc,Bash-Bot,0.0,0,0.0,0.0,3294.5,3600.0
